	V1	V2
414	Aqu2.1.01020_001	NA
415	Aqu2.1.01022_001	NA
416	Aqu2.1.01026_001	NA
417	Aqu2.1.01033_001	NA
418	Aqu2.1.01044_001	NA
419	Aqu2.1.01051_001	NA
420	Aqu2.1.01052_001	NA
421	Aqu2.1.01062_001	NA
422	Aqu2.1.01070_001	NA
423	Aqu2.1.01071_001	NA
424	Aqu2.1.01076_001	NA
425	Aqu2.1.01077_001	NA
426	Aqu2.1.01080_001	NA
427	Aqu2.1.01081_001	NA
428	Aqu2.1.01087_001	NA
429	Aqu2.1.01105_001	NA
430	Aqu2.1.01106_001	NA
431	Aqu2.1.01108_001	NA
432	Aqu2.1.01109_001	NA
433	Aqu2.1.01111_001	NA
434	Aqu2.1.01118_001	NA
435	Aqu2.1.01121_001	NA
436	Aqu2.1.01124_001	NA
437	Aqu2.1.01125_001	NA
438	Aqu2.1.01129_001	NA
439	Aqu2.1.01143_001	NA
440	Aqu2.1.01150_001	NA
441	Aqu2.1.01151_001	NA
442	Aqu2.1.01153_001	NA
443	Aqu2.1.01157_001	NA
444	Aqu2.1.01161_001	NA
445	Aqu2.1.01162_001	NA
446	Aqu2.1.01164_001	NA
447	Aqu2.1.01165_001	NA
448	Aqu2.1.01170_001	NA
449	Aqu2.1.01176_001	NA
450	Aqu2.1.01177_001	NA
451	Aqu2.1.01179_001	NA
452	Aqu2.1.01184_001	NA
453	Aqu2.1.01187_001	NA
454	Aqu2.1.01191_001	NA
455	Aqu2.1.01195_001	NA
456	Aqu2.1.01199_001	NA
457	Aqu2.1.01203_001	NA
458	Aqu2.1.01206_001	NA
459	Aqu2.1.01211_001	NA
460	Aqu2.1.01213_001	NA
461	Aqu2.1.01216_001	NA
462	Aqu2.1.01218_001	NA
463	Aqu2.1.01219_001	NA
464	Aqu2.1.01222_001	NA
465	Aqu2.1.01232_001	NA
466	Aqu2.1.01236_001	NA
467	Aqu2.1.01240_001	NA
468	Aqu2.1.01249_001	NA
469	Aqu2.1.01251_001	NA
470	Aqu2.1.01252_001	NA
471	Aqu2.1.01254_001	NA
472	Aqu2.1.01258_001	NA
473	Aqu2.1.01261_001	NA
474	Aqu2.1.01266_001	NA
475	Aqu2.1.01268_001	NA
476	Aqu2.1.01276_001	NA
477	Aqu2.1.01281_001	NA
478	Aqu2.1.01283_001	NA
479	Aqu2.1.01287_001	NA
480	Aqu2.1.01289_001	NA
481	Aqu2.1.01290_001	NA
482	Aqu2.1.01291_001	NA
483	Aqu2.1.01294_001	NA
484	Aqu2.1.01298_001	NA
485	Aqu2.1.01299_001	NA
486	Aqu2.1.01300_001	NA
487	Aqu2.1.01313_001	NA
488	Aqu2.1.01315_001	NA
489	Aqu2.1.01319_001	NA
490	Aqu2.1.01320_001	NA
491	Aqu2.1.01321_001	NA
492	Aqu2.1.01322_001	NA
493	Aqu2.1.01324_001	NA
494	Aqu2.1.01327_001	NA
495	Aqu2.1.01328_001	NA
496	Aqu2.1.01330_001	NA
497	Aqu2.1.01331_001	NA
498	Aqu2.1.01332_001	NA
